Path,Physical,Source,Comment,Single-line comment,Block comment,Mixed,Empty
src/components/system/query-tool/report/sidebar/reportItemRow.tsx,356,247,45,38,7,4,70
src/components/system/query-tool/report/sidebar/reportItemTreeNode.scss,301,208,41,41,0,0,52
src/components/system/query-tool/report/sidebar/reportItemTreeNode.tsx,208,160,18,13,5,3,33
src/components/system/query-tool/report/sidebar/sidebarContextMenu.scss,1,0,0,0,0,0,1
src/components/system/query-tool/report/sidebar/sidebarContextMenu.tsx,233,159,33,13,20,4,45
src/components/system/query-tool/report/detailPane/ReportLayoutManager.scss,4,4,0,0,0,0,0
src/components/system/query-tool/report/detailPane/ReportLayoutManager.tsx,355,269,26,20,6,1,61
src/components/system/query-tool/report/detailPane/ReportTabContextMenu.scss,12,11,0,0,0,0,1
src/components/system/query-tool/report/detailPane/ReportSummary.tsx,122,62,57,24,33,12,18
src/components/system/query-tool/report/detailPane/index.ts,4,4,0,0,0,0,0
src/components/system/query-tool/report/detailPane/ReportTabContextMenu.tsx,214,126,53,22,31,4,39
src/components/system/query-tool/report/detailPane/pageDetailView.tsx,33,29,0,0,0,0,4
src/components/system/query-tool/report/detailPane/queryViewLayoutItem.scss,4,4,0,0,0,0,0
src/components/system/query-tool/report/detailPane/queryViewLayoutItem.tsx,411,269,67,51,16,0,75
src/components/system/query-tool/query-builder/internal-components/query-definition-panels/QueryResultsPanel.tsx,114,96,7,7,0,1,12
src/components/system/query-tool/query-builder/internal-components/query-definition-panels/arrangementPanel-ng.ts,412,283,57,40,17,6,78
src/components/system/query-tool/query-builder/internal-components/query-definition-panels/arrangementPanel.scss,117,93,1,1,0,0,23
src/components/system/query-tool/query-builder/internal-components/query-definition-panels/arrangementPanel.tsx,188,136,22,22,0,0,30
src/components/system/query-tool/query-builder/internal-components/query-definition-panels/arrangementPanel_noFlex.tsx,127,91,9,9,0,0,27
src/components/system/query-tool/query-builder/internal-components/query-definition-panels/scenariosPanel.tsx,91,73,0,0,0,0,18
src/components/system/query-tool/query-builder/internal-components/query-definition-panels/statisticsPanel.tsx,64,45,10,1,9,1,10
src/components/system/query-tool/query-builder/internal-components/query-definition-panels/timeStepsPanel.tsx,83,71,0,0,0,0,12
src/components/system/query-tool/query-builder/internal-components/query-definition-panels/AccordionPanel.tsx,230,179,7,2,5,0,44
src/components/system/query-tool/query-builder/internal-components/SuperPanel/SearcherType.tsx,1,1,0,0,0,0,0
src/components/system/query-tool/query-builder/internal-components/SuperPanel/SuperPanelComponent.scss,222,155,26,26,0,0,41
src/components/system/query-tool/query-builder/internal-components/SuperPanel/SuperPanelComponent.tsx,215,168,20,20,0,0,27
src/components/system/query-tool/query-builder/internal-components/SuperPanel/AccordionPanel/AccordionComponent.scss,181,137,13,10,3,2,33
src/components/system/query-tool/query-builder/internal-components/SuperPanel/AccordionPanel/AccordionComponent.tsx,638,480,47,38,9,1,112
src/components/system/query-tool/query-builder/internal-components/SuperPanel/AccordionPanel/AccordionHeader.tsx,46,42,0,0,0,0,4
src/components/system/query-tool/query-builder/internal-components/SuperPanel/AccordionPanel/AccordionPanelComponent.scss,261,198,18,18,0,3,48
src/components/system/query-tool/query-builder/internal-components/SuperPanel/AccordionPanel/AccordionPanelComponent.tsx,231,180,18,16,2,4,37
src/components/system/query-tool/query-builder/internal-components/SuperPanel/AccordionPanel/AccordionPanelToolbar.tsx,117,100,0,0,0,0,17
src/components/system/query-tool/query-builder/internal-components/SuperPanel/AccordionPanel/AxisChooser.tsx,97,74,8,8,0,1,16
src/components/system/query-tool/query-builder/internal-components/SuperPanel/AccordionPanel/Accordions.ts,258,208,3,3,0,1,48
src/components/system/query-tool/query-builder/internal-components/SuperPanel/AccordionPanel/index.ts,3,3,0,0,0,0,0
src/components/system/query-tool/query-builder/internal-components/SuperPanel/searchers/axisChooser-ng.ts,69,56,2,2,0,0,11
src/components/system/query-tool/query-builder/internal-components/SuperPanel/searchers/axisCoordinateSearcher-ng.ts,189,137,23,23,0,1,30
src/components/system/query-tool/query-builder/internal-components/SuperPanel/searchers/axisCoordinateSearcher.scss,16,9,5,5,0,0,2
src/components/system/query-tool/query-builder/internal-components/SuperPanel/searchers/axisCoordinateSearcher.tsx,232,69,125,125,0,1,39
src/components/system/query-tool/query-builder/internal-components/SuperPanel/searchers/index.ts,2,2,0,0,0,0,0
src/components/system/query-tool/query-builder/internal-components/SuperPanel/searchers/rangeSearcher-ng.ts,225,171,15,8,7,0,39
src/components/system/query-tool/query-builder/internal-components/SuperPanel/searchers/rangeSearcher.tsx,182,144,6,2,4,0,32
